name	model	type	state	lat	lon
neocity-rf-f4cc-uranus	Loco5AC	airMax	active	33.351207	-115.732572
neocity-rf-1121-juicy	LBE-5AC-Gen2	airMax	active	33.353549	-115.7315
neocity-rf-9961-muzikmuzeum	NBE-5AC-Gen2	airMax	active	33.351153	-115.733618
chowtower-rf-sector-se	LAP-GPS	airMax	active	33.35233	-115.730875
neocity-rf-20d2-kona	NBE-5AC-Gen2	airMax	disconnected	33.353068	-115.728937
neocity-rf-32c2-joe	Loco5AC	airMax	active	33.350084	-115.733518
neocity-rf-90d7-chowmart	NBE-5AC-Gen2	airMax	active	33.352629	-115.733733
neocity-rf-9a92-limbolounge	LBE-5AC-Gen2	airMax	active	33.351641	-115.728816
mars-rf-c7:72-freeside	NBE-5AC-Gen2	airMax	active	33.362188	-115.7128
venus-rf-sector-e	LAP-120	airMax	active	33.354118	-115.729045
neocity-rf-68ca-kim	Loco5AC	airMax	active	33.351802	-115.726156
Dada	LBE-5AC-Gen2	airMax	active	33.352589	-115.728085
neocity-rf-53c2-mercury	Loco5AC	airMax	active	33.351221	-115.730496
neocity-rf-98ef	NBE-5AC-Gen2	airMax	active	33.352104	-115.72983
neocity-rf-932a-institute	LBE-5AC-Gen2	airMax	active	33.349186	-115.726604
neocity-rf-seva	LBE-5AC-Gen2	airMax	active	33.350425	-115.729371
neocity-rf-39b8-dragonflyhouse	Loco5AC	airMax	active	33.34954	-115.732078
Palazzo	LBE-5AC-Gen2	airMax	active	33.354137	-115.729691
Tile House	LBE-5AC-Gen2	airMax	active	33.349745	-115.729829
chowtower-rf-sector-sw	LAP-GPS	airMax	active	33.352295	-115.731016
venus-rf-ptp-chowtower-05	LBE-5AC-Gen2	airMax	active	33.354059	-115.729223
neocity-rf-a1fb-zigzag	LBE-5AC-Gen2	airMax	active	33.349092	-115.725982
neocity-rf-0763-sharonda	Loco5AC	airMax	disconnected	33.35206	-115.732672
mars-rf-sector-n	LAP-120	airMax	active	33.3628	-115.7152
neocity-rf-1a25-salthouse	LBE-5AC-Gen2	airMax	active	33.350876	-115.726142
neocity-rf-2e6d-sunflowerlabs	Loco5AC	airMax	active	33.349681	-115.733025
neocity-rf-25d4-raphalots	Loco5AC	airMax	disconnected	33.349088	-115.730342
venus-rf-ptp-mars-60	GBE-LR	airMax	active	33.354118	-115.729045
neocity-rf-1015-richard	LBE-5AC-Gen2	airMax	disconnected	33.34853	-115.726579
neocity-rf-ce67	NBE-5AC-Gen2	airMax	active	33.353053	-115.729931
mars-rf-262b - colab	NBE-5AC-Gen2	airMax	active	33.361978	-115.712804
venus-rf-sector-s	LAP-120	airMax	active	33.354118	-115.729045
mars-rf-9e:5d-og	NBE-5AC-Gen2	airMax	active	33.3632	-115.714805
neocity-rf-06e9-compoundz	Loco5AC	airMax	active	33.350559	-115.730425
neocity-rf-7de1-wormhole	Loco5AC	airMax	active	33.350066	-115.728881
neocity-rf-19b8-electriclounge	Loco5AC	airMax	active	33.352036	-115.729826
Kim's Rental	LBE-5AC-Gen2	airMax	active	33.347313	-115.729562
2115 - Vlad 	LBE-5AC-Gen2	airMax	active	33.349913	-115.729329
neocity-rf-kamartaj-05	LBE-5AC-Gen2	airMax	disconnected	33.353676	-115.72869
Saturn	LBE-5AC-Gen2	airMax	active	33.353	-115.732107
neocity-rf-aa67-skullpony	LBE-5AC-Gen2	airMax	active	33.350539	-115.729843
neocity-rf-9e62-bbac	NBE-5AC-Gen2	airMax	active	33.353174	-115.730525
mars-rf-tool-983a	NBE-5AC-Gen2	airMax	active	33.363	-115.7131
neocity-rf-a4b2-hunky	Loco5AC	airMax	active	33.350833	-115.729321
chowtower-rf-sector-n	LAP-GPS	airMax	active	33.352345	-115.730975
mars-rf-ptp-venus-60	GBE-LR	airMax	active	33.362751	-115.7152
mars-rf-sector-e	LAP-120	airMax	active	33.361942	-115.713889
Pirates	LBE-5AC-Gen2	airMax	disconnected	33.350836	-115.729954
neocity-rf-e6c2-ivan	LBE-5AC-Gen2	airMax	active	33.351792	-115.729214
chowtower-rf-ptp-venus-05	LBE-5AC-Gen2	airMax	active	33.352337	-115.730971
